country_css_class,country,national_language,population,flag_image_url,compliance_requirement_for_telecom_radio,regulatory_authority,mandatory_requirements_telecom_radio_safety_emc,in_country_test,language_requirements_application_manual_report,local_representation_required_for_approval,country_specific_labelling,approval_validity,factory_inspection,other_requirements,radio_telecom_certificate_example_url,radio_telecom_mark_artwork_url,emc_certification_and_test_report_required_for_it_products,emission_and_immunity,safety_certification_required_for_it_products,safety_test_report_requirement,rohs_certification_required_for_it_products,rohs_requirements,sample_required_in_country,language_requirements_user_manual_product_safety_markings,local_representative_applicant_required,mandatory_factory_inspection_requirement,remarks,safety_emc_certificate_example_url,safety_emc_mark_artwork_url,energy_efficiency_requirements,energy_efficiency_certificate_example_url,energy_efficiency_mark_artwork_url
indonesia,INDONESIA,Indonesian,273.5 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/id.png,Yes,Directorate General of Resources and Equipment for Post and Information Technology (SDPPI),TelecomRadioEMCSafety,Yes,English,Yes,Yes,3 years,No,,,,No,Only for Telecommunication products that connect to PSTN,"Yes, for HOUS and Audio/Video","Yes, for HOUS and Audio/Video",No,No,Report from domestic or foreign recognized lab,English is OK,Yes,Yea,,,,Unknown,,
israel,ISRAEL,Hebrew,9.2 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/il.png,Yes,Ministry of Communications (MOC),TelecomRadioSafetyEMC,No,Hebrew label and user documentation,No,In Hebrew (Must have model no. and Importer name),5 years,No,,,,Yes,EI and I,Import certificate required,IEC 62368-1,No,Unknown,No,Hebrew,"No, but local importer info. on package",No,,,,Yes,,
japan,JAPAN,Japanese,125 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/jp.png,Yes,T: JATE R: MIC Nemko Canada (CAB),TelecomRadioEMCSafety,No,Japanese manual,No,Yes,Life of product,R: ISO9000 cert.,,,,No,Yes (E),Yes,Yes,No,Yes (6 substances),No,Japanese,"Yes, responsible for notification","Yes, for diamond PSE",,,,Yes,,
jordan,JORDAN,Arabic,10.2 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/jo.png,Yes,Telecommunications Regulatory Commission (TRC),TelecomRadioEMCSafety,No but sample can be requested at the discretion of the Regulator,No,Yes,None,Life of product,No,,,,"No, but strongly recommended to get through customs","No, but strongly recommended to get through customs","No, but strongly recommended to get through customs","No, but strongly recommended to get through customs",No,Unknown,No,"Arabic (but for ITE, English OK)",No,No,,,,Yes,,
kenya,KENYA,Swahili/English,53.7 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/ke.png,Yes,Communications Commission of Kenya (CAK),Telecom Radio,Yes (Depending on device type),English,Yes,"Yes, for certain products",6 months provisional then permanent after,No,,,,No,No,Yes,Yes,No,No,No,English is OK,No,No,HS code required,,,Unknown,,
korea,KOREA,Korean,51.7 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/kr.png,Yes,National Radio Research Agency (RRA),TelecomRadioEMCSafety,"No, Reports accepted from accredited MRA labs",Korean required for certification but not for registration,Yes,Yes,Life of product,No,"Other requirements for EMC, safety and ROHS might apply. Please check the Nemko Direct key info for more information.",,,Conformity Registration scheme,"Yes, (E) and (I) from FTA or MRA lab or in-country testing",Safety certification or Safety confirmation scheme depending on products,"CB cert and report are accepted by MOU with cert body. (currently, IEC 60950 / 60065 for IT/AV)",DoC scheme by real importer,Yes (10 substances),-,"Yes, in Korean language for c)",Yes,"Yes, for certain Safety products only",,,,Yes,,
lebanon,LEBANON,Arabic,6.8 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/lb.png,Yes,Telecommunications Regulatory Authority (TRA),TelecomRadioEMCSafety,No,No,Yes,Yes,Life of product,No,,,,,,,,,Unknown,,,,,,,,Unknown,,
malaysia,MALAYSIA,Malay,32.3 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/my.png,Yes,SIRIM Berhad,TelecomRadioEMCSafety,Yes (Depending on device type),English,Yes,Yes,5 years,No,,,,No,No,Yes,Yes,No,Unknown,No,English is OK,Yes,"Yes, for product certification",,,,Unknown,,
mexico,MEXICO,Spanish,129 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/mx.png,Yes,Instituto Federal de Telecomunicaciones (IFETEL) NYCE,TelecomRadioSafety,R – No as long as reports are from accredited MRA labs T – Yes,Spanish manual and report,Yes,Yes,Indefinite with exception of Perito,No,,,,"Yes, for some products under NOM-003",,"Yes, for most products depending on HS code",,No,Unknown,No,Spanish,Yes,Yes,HS code required,,,Yes,,
mongolia,MONGOLIA,Mongolian,3.2 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/mn.png,Yes,Communications Regulatory Commission (CRC),Telecom Radio,No,English,Yes,Optional,3 years,No,,,,,,,,,Unknown,,,,,,,,Unknown,,
